order_number;created_at;total_ht;status;shipping_mode;payment_method;tax_amount;total_ttc;type;siret;company_name;first_name;last_name;civility;address;address2;postcode;town;pays;email;function;mobile;tel;fax;siret_ship;company_name_ship;first_name_ship;last_name_ship;civility_ship;address_ship;address2_ship;postcode_ship;town_ship;pays_ship;email_ship;function_ship;mobile_ship;tel_ship;fax_ship;id_ligne;id_produit;store;libelle;quantite;montant_ht;montant_ttc;total_ht;tva;duree_engagement;innovant;id_group;sku;category_ids;type_produit;createur_entreprise;portabilite_rio;portabilite_numero;portabilite_date;type_client;device;origin;idiccFrontal;CodeOffre;OrdreIce;type_acte
WCE271411;09/08/2017 14:13;64.90;En attente de validation des documents;;rib;12.98;77.88;mobile;1,22222E+13;TEST;test;test;Mme;TEST;;75003;PARIS 03;France;;test;601010101;;;;;;;;;;;;;;;;;;1;6999;telephone_mobile;Samsung Galaxy J3 2016 noir 8Go;1;19.90;23.88;19.90;20.00;;;1;224025;13,54,97;mobile;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE271411;09/08/2017 14:13;64.90;En attente de validation des documents;;rib;12.98;77.88;mobile;1,22222E+13;TEST;test;test;Mme;TEST;;75003;PARIS 03;France;;test;601010101;;;;;;;;;;;;;;;;;;2;7052;telephone_mobile;Performance pro équilibre;1;45.00;54.00;45.00;20.00;24-mois;innovant1;1;DEFAULT_7052;13,55,108;forfait;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
100009198;09/08/2017 14:22;55.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;600000000;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;sylvie.fontanier@orange.com;;600000000;145197344;;1;8103;internet;La fibre pro équilibre;1;55.00;66.00;55.00;20.00;;;1;DEFAULT_8103;127,128,131;internet;;;;;PROSPECT;desktop;boutique;;;;
100009198;09/08/2017 14:22;55.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;600000000;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;sylvie.fontanier@orange.com;;600000000;145197344;;3;5356;internet;Xambox (Découverte);1;0.00;0.00;0.00;20.00;Decouverte;;1;DEFAULT_5356;127,129,133,134,135;option_internet;;;;;PROSPECT;desktop;boutique;;;;
E291301;09/08/2017 14:22;20.00;En attente;colissimo;cheque;4.00;24.00;equipement;;test;test;test;Sté;test;;75009;PARIS 09;France;;;;102030405;;;;;;;;;;;;;;;;;1;7788;equipements;Coque Clic Air iPhone 7 Plus transparente Native Union;1;20.00;24.00;20.00;20.00;;;1;4,8952E+12;7,29,72;equipement;;;;;OBS;desktop;boutique;;;;
WCE256025;09/08/2017 14:27;24.99;En attente;;facturation;5.00;29.99;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;1;7030;telephone_mobile;forfait smart pro 10Go;1;24.99;29.99;24.99;20.00;sans engagement;smartpro;1;DEFAULT_7030;13,55,111;forfait;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE256025;09/08/2017 14:27;24.99;En attente;;facturation;5.00;29.99;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;2;10933;telephone_mobile;Facture Électronique Certifiée;1;0.00;0.00;0.00;20.00;;classique;1;FEC;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE286331;09/08/2017 14:27;139.90;En attente;;rib;27.98;167.88;mobile;1,22222E+13;test;test;test;Mme;test;;75001;PARIS 01;France;;test;600000000;;;;;;;;;;;;;;;;;;1;7052;telephone_mobile;Performance pro équilibre;1;50.00;60.00;50.00;20.00;12-mois;innovant1;1;DEFAULT_7052;13,55,108;forfait;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE286331;09/08/2017 14:27;139.90;En attente;;rib;27.98;167.88;mobile;1,22222E+13;test;test;test;Mme;test;;75001;PARIS 01;France;;test;600000000;;;;;;;;;;;;;;;;;;2;7916;telephone_mobile;Samsung Galaxy A3 2017 noir 16 Go;1;89.90;107.88;89.90;20.00;;innovant1;1;226112;97;mobile;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE279138;09/08/2017 14:30;149.90;En attente;;facturation;29.98;179.88;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;1;7984;telephone_mobile;Huawei MediaPad M2 10 4G blanc 16Go;1;119.90;143.88;119.90;20.00;;innovant2;1;226064;13,58,103;mobile;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE279138;09/08/2017 14:30;149.90;En attente;;facturation;29.98;179.88;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;2;3594;telephone_mobile;Business Everywhere pro Equilibre;1;30.00;36.00;30.00;20.00;24-mois;innovant2;1;DEFAULT_3594;13,55,109;forfait;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE296435;09/08/2017 14:49;468.90;En attente;;facturation;93.78;562.68;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;1;7663;telephone_mobile;Sony Xperia XZ bleu 32Go;1;439.90;527.88;439.90;20.00;;;1;225336;13,54,125;mobile;;;;;OBS;MOBILE;boutique;;;;Foisonnement
WCE296435;09/08/2017 14:49;468.90;En attente;;facturation;93.78;562.68;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;2;3820;equipements;Support auto universel Samsung;1;29.00;34.80;29.00;20.00;;;1;8,80609E+12;7,29,81,83;equipement;;;;;OBS;MOBILE;boutique;;;;Foisonnement
WCE279949;09/08/2017 16:13;55.60;En attente;;rib;11.12;66.72;mobile;1,22222E+13;TEST;test;test;Mme;TEST;;75003;PARIS 03;France;;test;601010101;;;;;;;;;;;;;;;;;;1;7049;default;Performance pro initial voix;1;19.00;22.80;19.00;20.00;24-mois;innovant1;1;DEFAULT_7049;13,55,108;forfait;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE279949;09/08/2017 16:13;55.60;En attente;;rib;11.12;66.72;mobile;1,22222E+13;TEST;test;test;Mme;TEST;;75003;PARIS 03;France;;test;601010101;;;;;;;;;;;;;;;;;;2;6999;default;Samsung Galaxy J3 2016 noir 8Go;1;19.90;23.88;19.90;20.00;;innovant1;1;224025;13,54,97;mobile;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE279949;09/08/2017 16:13;55.60;En attente;;rib;11.12;66.72;mobile;1,22222E+13;TEST;test;test;Mme;TEST;;75003;PARIS 03;France;;test;601010101;;;;;;;;;;;;;;;;;;3;3559;default;abondance 21 h vers fixes et mobiles Europe-USA-Canada;1;10.00;12.00;10.00;20.00;;classique;1;abondance 21 h ;;option_perso;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE279949;09/08/2017 16:13;55.60;En attente;;rib;11.12;66.72;mobile;1,22222E+13;TEST;test;test;Mme;TEST;;75003;PARIS 03;France;;test;601010101;;;;;;;;;;;;;;;;;;4;3191;equipements;Pack Multiadaptateur SIM;1;6.70;8.04;6.70;20.00;;;1;3,56129E+12;7,29,79;equipement;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE254953;09/08/2017 16:16;73.90;En attente;;facturation;14.78;88.68;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;1;7051;default;Performance pro initial;1;29.00;34.80;29.00;20.00;24-mois;innovant1;1;DEFAULT_7051;13,55,108;forfait;;02E111111J7B;601010101;15/09/2017;OBS;MOBILE;boutique;;;;Foisonnement
WCE254953;09/08/2017 16:16;73.90;En attente;;facturation;14.78;88.68;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;2;6999;default;Samsung Galaxy J3 2016 noir 8Go;1;19.90;23.88;19.90;20.00;;innovant1;1;224025;13,54,97;mobile;;;;;OBS;MOBILE;boutique;;;;Foisonnement
WCE254953;09/08/2017 16:16;73.90;En attente;;facturation;14.78;88.68;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;3;3038;default;Facture Electronique;1;0.00;0.00;0.00;20.00;;classique;1;FEL;;option_perso;;;;;OBS;MOBILE;boutique;;;;Foisonnement
WCE254953;09/08/2017 16:16;73.90;En attente;;facturation;14.78;88.68;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;4;4393;equipements;Oreillette Bluetooth® M70 Plantronics;1;25.00;30.00;25.00;20.00;;;1;5,03359E+12;7,29,74;equipement;;;;;OBS;MOBILE;boutique;;;;Foisonnement
WCE258086;22/08/2017 11:03;64.90;En attente;;rib;12.98;77.88;mobile;1,22222E+13;TEST;test;test;Mme;TEST;;75003;PARIS 03;France;;test;601010101;;;;;;;;;;;;;;;;;;1;7052;default;Performance pro équilibre;1;45.00;54.00;45.00;20.00;24-mois;innovant1;1;DEFAULT_7052;13,55,108;forfait;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE258086;22/08/2017 11:03;64.90;En attente;;rib;12.98;77.88;mobile;1,22222E+13;TEST;test;test;Mme;TEST;;75003;PARIS 03;France;;test;601010101;;;;;;;;;;;;;;;;;;2;6999;default;Samsung Galaxy J3 2016 noir 8Go;1;19.90;23.88;19.90;20.00;;innovant1;1;224025;13,54,97;mobile;;;;;PROSPECT;MOBILE;boutique;;;;Foisonnement
WCE260865;22/08/2017 11:08;116.70;En attente;;facturation;23.34;140.04;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;1;7060;default;Performance pro intense;1;65.00;78.00;65.00;20.00;24-mois;innovant3;1;DEFAULT_7060;13,55,108;forfait;;02E111111J7B;601010101;15/09/2017;OBS;MOBILE;boutique;;;;Foisonnement
WCE260865;22/08/2017 11:08;116.70;En attente;;facturation;23.34;140.04;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;2;6999;default;Samsung Galaxy J3 2016 noir 8Go;1;1.00;1.20;1.00;20.00;;innovant3;1;224025;13,54,97;mobile;;;;;OBS;MOBILE;boutique;;;;Foisonnement
